
INSTRUMENT1,28-Aug-1996,2.735
INSTRUMENT1,29-Aug-1996,2.7365
INSTRUMENT1,30-Aug-1996,2.7415
INSTRUMENT1,02-Sep-1996,2.7415
INSTRUMENT1,03-Sep-1996,2.7495
INSTRUMENT1,04-Sep-1996,2.7482
INSTRUMENT1,05-Sep-1996,2.748
INSTRUMENT1,06-Sep-1996,2.75
INSTRUMENT1,09-Sep-1996,2.777
INSTRUMENT1,10-Sep-1996,2.777
INSTRUMENT1,11-Sep-1996,2.7846
INSTRUMENT1,12-Sep-1996,2.78
INSTRUMENT1,13-Sep-1996,2.786
INSTRUMENT1,16-Sep-1996,2.785
INSTRUMENT1,17-Sep-1996,2.7825
INSTRUMENT1,18-Sep-1996,2.782
INSTRUMENT1,19-Sep-1996,2.7845
INSTRUMENT1,20-Sep-1996,2.7935
INSTRUMENT1,23-Sep-1996,2.793
INSTRUMENT1,24-Sep-1996,2.789
INSTRUMENT1,25-Sep-1996,2.783
INSTRUMENT1,26-Sep-1996,2.799
INSTRUMENT1,27-Sep-1996,2.8005
INSTRUMENT1,30-Sep-1996,2.8095
INSTRUMENT1,01-Oct-1996,2.804
INSTRUMENT1,02-Oct-1996,2.809
INSTRUMENT1,03-Oct-1996,2.8155
INSTRUMENT1,04-Oct-1996,2.815
INSTRUMENT1,07-Oct-1996,2.8135
INSTRUMENT1,08-Oct-1996,2.8085
INSTRUMENT1,09-Oct-1996,2.811
INSTRUMENT1,10-Oct-1996,2.809
INSTRUMENT1,11-Oct-1996,2.8135
INSTRUMENT1,14-Oct-1996,2.815
INSTRUMENT1,15-Oct-1996,2.821
INSTRUMENT1,16-Oct-1996,2.8285
INSTRUMENT1,17-Oct-1996,2.8325
INSTRUMENT1,18-Oct-1996,2.8343
INSTRUMENT1,21-Oct-1996,2.8318
INSTRUMENT1,22-Oct-1996,2.8265
INSTRUMENT1,23-Oct-1996,2.819
INSTRUMENT1,24-Oct-1996,2.819
INSTRUMENT1,25-Oct-1996,2.8255
INSTRUMENT1,28-Oct-1996,2.822
INSTRUMENT1,29-Oct-1996,2.81
INSTRUMENT1,30-Oct-1996,2.813
INSTRUMENT1,31-Oct-1996,2.811
INSTRUMENT1,01-Nov-1996,2.8137
INSTRUMENT1,04-Nov-1996,2.812
INSTRUMENT1,05-Nov-1996,2.8093
INSTRUMENT1,06-Nov-1996,2.818
INSTRUMENT1,07-Nov-1996,2.8095
INSTRUMENT1,08-Nov-1996,2.8105
INSTRUMENT1,11-Nov-1996,2.8022
INSTRUMENT1,12-Nov-1996,2.7955
INSTRUMENT1,13-Nov-1996,2.804
INSTRUMENT1,14-Nov-1996,2.8079
INSTRUMENT1,15-Nov-1996,2.811
INSTRUMENT1,18-Nov-1996,2.8135
INSTRUMENT1,19-Nov-1996,2.8125
INSTRUMENT1,20-Nov-1996,2.8125
INSTRUMENT1,21-Nov-1996,2.808
INSTRUMENT1,22-Nov-1996,2.8105
INSTRUMENT1,25-Nov-1996,2.824
INSTRUMENT1,26-Nov-1996,2.8365
INSTRUMENT1,27-Nov-1996,2.8332
INSTRUMENT1,28-Nov-1996,2.8332
INSTRUMENT1,29-Nov-1996,2.8485
INSTRUMENT1,02-Dec-1996,2.8485
INSTRUMENT1,03-Dec-1996,2.862
INSTRUMENT1,04-Dec-1996,2.8632
INSTRUMENT1,05-Dec-1996,2.866
